,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
450,Svetlyy,RU,54.675,20.1347,41.0,81,40,11.18,scattered clouds
451,Galveston,US,29.3669,-94.9669,73.4,88,75,20.71,broken clouds
452,Marsh Harbour,BS,26.5412,-77.0636,79.65,64,6,11.05,clear sky
453,Athabasca,CA,54.7169,-113.2854,66.2,26,0,23.02,clear sky
454,Porto Belo,BR,-27.1578,-48.5531,75.2,57,20,6.91,few clouds
455,Sarangani,PH,5.4033,125.4636,82.78,77,95,16.64,overcast clouds
456,Sibu,MY,2.3,111.8167,75.2,100,40,3.44,scattered clouds
457,Palmer,US,42.1584,-72.3287,63.0,48,75,25.32,broken clouds
458,Oromocto,CA,45.8351,-66.4792,42.8,81,90,20.71,moderate rain
459,Gannan,CN,47.9147,123.5031,43.2,68,100,6.33,overcast clouds
460,Xai-Xai,MZ,-25.0519,33.6442,74.84,78,100,13.76,light rain
461,Dicabisagan,PH,17.0818,122.4157,75.31,82,20,2.57,few clouds
462,Lengshuijiang,CN,27.6881,111.4294,67.46,70,100,2.28,overcast clouds
463,Paso De Los Toros,UY,-32.8167,-56.5167,73.4,46,0,10.36,clear sky
464,Bintulu,MY,3.1667,113.0333,75.2,100,40,4.61,light rain
465,Yaan,NG,7.3833,8.5667,88.3,51,89,10.63,overcast clouds
466,Locri,IT,38.2414,16.2623,64.99,94,20,5.75,few clouds
467,Japura,ID,-0.3167,102.35,71.31,96,100,2.26,overcast clouds
468,Fare,PF,-16.7,-151.0167,80.47,70,100,3.29,overcast clouds
469,Krasnoselkup,RU,65.7,82.4667,33.62,95,100,14.47,overcast clouds
470,Ola,RU,59.5833,151.2833,30.33,86,100,2.33,overcast clouds
471,Waddan,LY,29.1614,16.139,93.45,7,0,14.5,clear sky
472,Lydenburg,ZA,-25.0978,30.4597,48.0,95,94,1.16,light rain
473,Vokhtoga,RU,58.8147,41.0461,42.42,98,100,3.2,light rain
474,Gaspe,CA,48.8334,-64.4819,44.6,76,90,9.22,overcast clouds
475,Harper,LR,4.375,-7.7169,80.98,78,100,6.15,light rain
476,Kudahuvadhoo,MV,2.6708,72.8944,83.3,70,6,2.1,clear sky
477,Pyapon,MM,16.2833,95.6833,81.16,73,100,4.41,overcast clouds
478,Punto Fijo,VE,11.6956,-70.1996,83.64,62,100,8.19,overcast clouds
479,Mahibadhoo,MV,3.7833,72.9667,83.55,66,5,4.34,clear sky
480,Klamath Falls,US,42.2249,-121.7817,72.0,32,1,4.61,clear sky
481,Havoysund,NO,70.9963,24.6622,30.2,80,90,36.82,snow
482,Jumla,NP,29.2747,82.1838,49.41,88,88,3.85,overcast clouds
483,Point Fortin,TT,10.1833,-61.6833,79.0,88,100,4.0,overcast clouds
484,Nipawin,CA,53.3668,-104.0009,62.6,27,90,17.27,overcast clouds
485,Port Pirie,AU,-33.1833,138.0167,59.0,47,100,9.22,overcast clouds
486,Calama,CL,-22.4667,-68.9333,68.0,13,0,20.71,clear sky
487,San Pedro,PH,14.35,121.0167,82.4,74,40,4.61,scattered clouds
488,Along,IN,28.1667,94.7667,71.2,52,100,2.04,overcast clouds
489,Koutsouras,GR,35.0339,25.9469,70.95,48,18,2.35,few clouds
490,San Buenaventura,MX,27.0833,-101.5333,68.0,64,75,4.61,broken clouds
491,Hovd,MN,48.0056,91.6419,60.58,29,100,10.36,overcast clouds
492,Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,45,0,10.36,clear sky
493,Rio Grande,BR,-32.035,-52.0986,75.2,64,0,13.8,clear sky
494,Ekhabi,RU,53.5102,142.9671,30.27,88,100,7.07,overcast clouds
495,Gamba,GA,-2.65,10.0,78.85,86,100,5.32,overcast clouds
496,Mehamn,NO,71.0357,27.8492,30.2,80,20,1.14,light snow
497,Mount Gambier,AU,-37.8333,140.7667,59.0,47,100,9.22,overcast clouds
498,Orlik,RU,52.5178,99.825,34.86,98,100,1.72,light snow
499,Guatire,VE,10.4762,-66.5427,84.2,70,75,6.91,broken clouds
500,Sankheda,IN,22.1667,73.5833,88.63,38,98,11.54,overcast clouds
501,Lewiston,US,44.1003,-70.2148,52.0,93,90,4.61,moderate rain
502,Nichinan,JP,31.6,131.3667,60.01,72,34,4.0,scattered clouds
503,Viedma,AR,-40.8135,-62.9967,79.03,29,88,17.78,overcast clouds
504,Lakes Entrance,AU,-37.8811,147.981,54.01,64,0,4.79,clear sky
505,Kidal,ML,18.4411,1.4078,98.49,6,86,10.13,overcast clouds
506,Kamyshlov,RU,56.8428,62.7111,36.88,48,0,6.58,clear sky
507,Kendari,ID,-3.945,122.4989,74.93,83,51,1.39,broken clouds
508,Udachnyy,RU,66.4167,112.4,26.02,99,100,3.91,overcast clouds
509,Kourou,GF,5.1552,-52.6478,82.4,78,75,8.05,light rain
510,Pampas,PE,-12.4,-74.9,58.6,51,82,6.15,broken clouds
511,Usinsk,RU,65.9939,57.5281,34.11,70,28,8.72,scattered clouds
512,Treinta Y Tres,UY,-33.2333,-54.3833,71.04,55,4,6.76,clear sky
513,Ust-Karsk,RU,52.7011,118.8077,30.88,94,12,2.73,few clouds
514,Kloulklubed,PW,7.0419,134.2556,78.8,94,75,12.82,broken clouds
515,San Policarpo,PH,12.1791,125.5072,78.6,75,100,2.93,overcast clouds
516,Amapa,BR,1.0,-52.0,74.59,95,100,4.94,overcast clouds
517,Mindelo,CV,16.8901,-24.9804,75.2,60,20,23.02,few clouds
518,Bontang,ID,0.1333,117.5,79.21,84,100,6.15,overcast clouds
519,Evanston,US,42.0411,-87.6901,51.8,46,20,18.41,few clouds
520,Sao Pedro Do Sul,BR,-29.6206,-54.1789,82.4,30,0,6.91,clear sky
521,Aripuana,BR,-9.1667,-60.6333,83.98,69,98,1.57,overcast clouds
522,Hvolsvollur,IS,63.7533,-20.2243,44.6,57,75,13.8,haze
523,Galia,BR,-22.2914,-49.5528,80.6,47,40,16.11,scattered clouds
524,Petawawa,CA,45.9001,-77.3328,33.8,86,90,12.66,snow
525,San Rafael,AR,-34.6177,-68.3301,73.81,35,100,13.85,overcast clouds
526,Ostrovnoy,RU,68.0531,39.5131,23.9,87,100,8.32,overcast clouds
527,Camacupa,AO,-12.0167,17.4833,62.82,92,62,1.92,light rain
528,Kaitong,CN,44.8135,123.15,45.12,28,99,7.16,overcast clouds
529,Banjar,ID,-8.19,114.9675,78.8,94,20,4.61,few clouds
530,Cabo San Lucas,MX,22.8909,-109.9124,88.0,34,1,11.5,clear sky
531,Kant,IN,27.8,79.8,88.84,19,0,6.64,clear sky
532,Surt,LY,31.2089,16.5887,89.31,18,74,14.43,broken clouds
533,Zhongshu,CN,24.5167,103.7667,58.21,96,100,3.0,light rain
534,Atar,MR,20.5169,-13.0499,87.8,42,0,9.51,clear sky
535,Port Lincoln,AU,-34.7333,135.8667,67.59,40,100,12.21,light rain
536,Plock,PL,52.5468,19.7064,44.6,87,0,5.75,clear sky
537,Tecoanapa,MX,16.5167,-98.75,86.83,60,6,12.57,clear sky
538,Leningradskiy,RU,69.3833,178.4167,16.03,86,100,20.83,overcast clouds
539,Paamiut,GL,61.994,-49.6678,37.54,82,0,6.31,clear sky
540,Lashio,MM,22.9333,97.75,66.7,90,100,1.97,overcast clouds
541,Marrakesh,MA,31.6315,-8.0083,59.0,63,75,1.14,broken clouds
542,Saint-Sauveur-Des-Monts,CA,45.9001,-74.1659,53.6,82,90,4.61,overcast clouds
543,Sierra Vista,US,31.5545,-110.3037,75.0,20,1,10.36,clear sky
544,Winona,US,43.9666,-91.7668,60.01,33,1,5.82,clear sky
545,Noumea,NC,-22.2763,166.4572,75.0,73,0,10.71,clear sky
546,Mecca,SA,21.4267,39.8261,86.25,52,100,7.23,overcast clouds
547,Raton,US,36.9034,-104.4391,72.0,16,1,3.44,clear sky
548,Yuzhnyy,RU,53.2542,83.6936,44.6,42,0,8.95,clear sky
549,Zwedru,LR,6.0667,-8.1281,76.14,92,99,4.03,moderate rain
550,Wanaka,NZ,-44.7,169.15,43.56,87,30,1.23,scattered clouds
551,Tezu,IN,27.9167,96.1667,75.67,46,100,3.74,overcast clouds
552,Prince George,CA,53.9166,-122.753,57.0,41,1,10.36,clear sky
553,Poronaysk,RU,49.2167,143.1167,34.47,87,100,23.53,light snow
554,Takoradi,GH,4.8845,-1.7554,82.42,76,25,8.34,scattered clouds
555,Bandundu,CD,-3.3167,17.3667,74.97,92,100,4.14,moderate rain
556,Tromso,NO,69.6496,18.957,26.01,86,75,3.44,light snow
557,Beberibe,BR,-4.1797,-38.1306,86.0,66,40,12.66,scattered clouds
558,Ayan,RU,56.45,138.1667,30.2,97,100,14.58,light snow
559,Dudinka,RU,69.4058,86.1778,15.53,97,61,6.06,broken clouds
560,Snasa,NO,64.2457,12.3778,39.2,60,75,4.61,broken clouds
561,Nagaur,IN,27.2,73.7333,85.15,29,77,8.1,broken clouds
562,Inhambane,MZ,-23.865,35.3833,77.0,88,20,4.61,few clouds
563,Heihe,CN,50.2441,127.4902,37.4,70,40,8.95,scattered clouds
564,Avon Park,US,27.5959,-81.5062,91.0,45,75,8.05,broken clouds
565,Provideniya,RU,64.3833,-173.3,27.91,64,100,1.74,overcast clouds
566,Gambela,ET,8.25,34.5833,75.33,78,100,2.64,overcast clouds
567,Bowen,AU,-20.0167,148.2333,64.4,94,80,6.91,broken clouds
568,Nerchinskiy Zavod,RU,51.3088,119.61,30.97,94,72,4.9,broken clouds
569,Manohar Thana,IN,24.24,76.8018,89.15,21,51,10.09,broken clouds
570,Garden City,US,42.3256,-83.331,57.99,35,40,20.71,scattered clouds
571,Huangchuan,CN,32.1272,115.0394,59.74,72,0,9.89,light rain
572,Alice Springs,AU,-23.7,133.8833,50.0,53,7,4.61,clear sky
573,Beidao,CN,34.5686,105.8933,58.51,40,0,3.02,clear sky
574,Yellapur,IN,14.9667,74.7167,73.62,86,1,2.26,clear sky
575,Tiznit,MA,29.5833,-9.5,57.72,59,16,13.49,few clouds
576,Sayat,TM,38.7839,63.8803,73.4,40,0,16.11,clear sky
577,Lethem,GY,3.3803,-59.7968,89.04,52,42,6.29,scattered clouds
578,Dhanaula,IN,30.2833,75.5833,84.13,28,99,6.42,overcast clouds
579,Haimen,CN,23.1935,116.6142,69.8,88,94,4.7,overcast clouds
580,Oktyabrskiy,RU,54.4815,53.471,44.51,61,34,6.73,scattered clouds
581,Rio Gallegos,AR,-51.6226,-69.2181,46.4,81,20,8.05,few clouds
582,Port Washington,US,40.8257,-73.6982,63.0,59,75,20.71,broken clouds
583,Bisira,PA,8.5196,-81.7115,65.62,80,100,2.57,overcast clouds
584,Danville,US,36.586,-79.395,77.0,27,1,14.97,clear sky
585,Santa Cruz,BO,-17.8,-63.1667,82.4,39,0,3.44,clear sky
586,Ust-Kulom,RU,61.6864,53.6902,35.33,74,99,8.37,overcast clouds
587,Inverness,GB,57.4791,-4.224,45.0,81,40,5.75,light rain
588,Laguna,US,38.421,-121.4238,81.0,27,75,4.03,broken clouds
589,Verkhnyaya Inta,RU,65.9811,60.3094,28.9,72,32,10.45,scattered clouds
590,Narayangarh,IN,30.4833,77.1333,83.93,26,36,6.71,scattered clouds
591,Saurimo,AO,-9.6608,20.3916,66.9,92,100,3.74,light rain
592,Palmerston,AU,-12.486,130.9833,73.4,88,1,4.61,clear sky
593,Peschanokopskoye,RU,46.1961,41.0775,55.72,93,1,9.53,clear sky
594,Mattru,SL,7.6244,-11.8332,81.82,74,98,7.18,light rain
595,Campina Verde,BR,-19.5356,-49.4864,83.88,38,100,9.51,overcast clouds
596,Taoudenni,ML,22.6783,-3.9836,85.44,35,100,2.44,overcast clouds
597,Yanam,IN,16.7333,82.2167,77.5,81,2,3.49,clear sky
598,Bure,ET,10.7,37.0667,61.29,80,74,3.29,light rain
599,Biggar,GB,55.6167,-3.5167,45.0,70,75,9.22,broken clouds
600,Constitucion,CL,-35.3333,-72.4167,59.14,79,100,11.16,overcast clouds
601,Christchurch,NZ,-43.5333,172.6333,50.0,93,90,6.91,overcast clouds
602,Mendeleyevo,RU,56.0333,37.2167,50.0,93,40,11.18,light rain
603,Sheridan,US,44.8333,-106.9173,82.0,19,1,3.04,clear sky
604,Aasiaat,GL,68.7098,-52.8699,34.03,76,100,6.53,overcast clouds
605,Tanout,NE,14.9709,8.8879,89.44,5,0,10.31,clear sky
606,Clinton,US,42.587,-82.9199,55.99,28,40,21.85,scattered clouds
607,Hirara,JP,24.8,125.2833,74.23,90,100,14.56,overcast clouds
608,Cantagallo,CO,7.376,-73.9196,82.31,72,100,4.09,overcast clouds
609,Gararu,BR,-9.9675,-37.0833,84.04,58,42,14.32,scattered clouds
610,Zasheyek,RU,67.4066,32.5499,20.79,87,71,3.27,broken clouds
611,Outjo,NA,-20.1167,16.15,69.94,32,16,7.63,few clouds
612,Nome,US,64.5011,-165.4064,23.0,63,1,5.44,clear sky
613,Ust-Barguzin,RU,53.45,108.9833,29.37,81,100,3.06,overcast clouds
614,Tyrma,RU,50.0833,132.1667,33.26,86,73,2.84,broken clouds
615,Ampanihy,MG,-24.7,44.75,71.1,75,3,6.33,clear sky
616,Nanakuli,US,21.3906,-158.1547,78.8,61,75,8.05,broken clouds
617,Polovinnoye,RU,54.7914,65.9864,40.82,56,0,10.29,clear sky
618,Miri,MY,4.4148,114.0089,77.0,94,40,3.44,scattered clouds
619,Marawi,PH,7.9986,124.2928,75.99,89,87,5.01,overcast clouds
620,Chau Doc,VN,10.7,105.1167,80.01,77,37,4.61,scattered clouds
621,Amahai,ID,-3.3333,128.9167,78.85,81,99,2.64,overcast clouds
622,Vieste,IT,41.8825,16.175,60.8,82,0,5.75,clear sky
623,Lumphat,KH,13.4878,106.9816,75.92,85,20,3.71,few clouds
624,Puerto Carreno,CO,6.189,-67.4859,80.91,70,99,4.23,overcast clouds
625,Kendallville,US,41.4414,-85.265,55.99,58,75,17.27,broken clouds
626,Nizwa,OM,22.9333,57.5333,75.45,49,13,3.13,few clouds
627,Aklavik,CA,68.2191,-135.0107,28.4,74,100,6.91,overcast clouds
628,Songea,TZ,-10.6833,35.65,69.8,88,20,5.75,few clouds
629,Poltavka,RU,54.3663,71.7632,44.13,70,43,12.68,light rain
630,Pasighat,IN,28.0667,95.3333,77.45,45,100,3.51,overcast clouds
631,Minab,IR,27.1467,57.0801,78.8,53,75,11.5,broken clouds
632,Ambon,ID,-3.6954,128.1814,81.32,76,96,3.18,overcast clouds
633,Singaraja,ID,-8.112,115.0882,78.24,81,15,3.22,few clouds
634,Nouadhibou,MR,20.931,-17.0347,71.6,78,0,19.57,clear sky
635,Navirai,BR,-23.065,-54.1906,82.69,22,0,5.06,clear sky
636,Uyaan,PH,7.8631,124.0411,63.57,94,91,2.42,overcast clouds
637,Madera,US,37.1666,-119.8343,81.0,29,80,1.01,broken clouds
638,Fort Nelson,CA,58.8053,-122.7002,57.2,28,75,21.85,broken clouds
639,Les Cayes,HT,18.2,-73.75,83.32,63,43,7.02,scattered clouds
640,Okhotsk,RU,59.3833,143.3,30.16,81,100,4.97,overcast clouds
641,Dibulla,CO,11.2725,-73.3091,79.29,78,82,5.12,broken clouds
642,Neon Karlovasion,GR,37.7903,26.7044,68.0,68,0,3.02,clear sky
643,Boma,GH,7.0805,-2.1697,81.1,65,100,2.26,overcast clouds
644,Quatre Cocos,MU,-20.2078,57.7625,78.8,78,40,14.97,scattered clouds
645,Chumikan,RU,54.7183,135.315,28.17,97,99,8.34,light snow
646,Peniche,PT,39.3558,-9.3811,59.0,66,29,11.01,scattered clouds
647,Linkoping,SE,58.4109,15.6216,44.6,36,1,5.75,clear sky
648,Kiunga,PG,-6.1219,141.2906,71.47,99,100,1.14,overcast clouds
649,Simoes,BR,-7.5989,-40.8178,87.37,36,91,9.82,overcast clouds
650,Turka,UA,49.1541,23.0297,54.0,79,97,2.24,overcast clouds
651,Wenchi,GH,7.7392,-2.1046,84.27,50,100,4.27,overcast clouds
652,Walvis Bay,NA,-22.9575,14.5053,60.8,72,0,4.61,clear sky
653,Moindou,NC,-21.6924,165.677,68.0,73,0,4.12,clear sky
654,Dangriga,BZ,16.9692,-88.2321,87.8,70,40,12.66,scattered clouds
655,Mandan,US,46.8267,-100.8896,66.2,29,1,25.32,clear sky
656,Naron,ES,43.5167,-8.1528,54.0,76,20,9.22,few clouds
657,Arona,ES,28.0996,-16.681,71.6,53,75,12.66,broken clouds
658,Yokadouma,CM,3.5167,15.05,70.54,81,96,1.81,overcast clouds
659,Talara,PE,-4.5772,-81.2719,82.4,57,0,18.41,clear sky
660,Kahului,US,20.8947,-156.47,75.2,100,75,16.11,light rain
661,Zonguldak,TR,41.25,31.8333,56.39,84,5,4.34,clear sky
662,Kontagora,NG,10.3999,5.4695,92.19,26,9,2.51,clear sky
663,Sukumo,JP,32.9333,132.7333,57.61,69,100,2.53,overcast clouds
664,Nueva Helvecia,UY,-34.3,-57.2333,73.99,46,5,6.85,light rain
665,Saint-Pierre,RE,-21.3393,55.4781,75.2,83,0,5.75,clear sky
666,Okha,RU,53.5739,142.9478,30.43,88,100,7.29,overcast clouds
667,Riorges,FR,46.0418,4.0497,50.0,71,90,5.75,overcast clouds
668,Salinas,US,36.6777,-121.6555,69.8,46,1,10.36,clear sky
669,Gelemso,ET,8.8167,40.5167,60.3,92,100,0.27,light rain
670,Thaba Nchu,ZA,-29.2093,26.839,50.0,76,0,12.66,clear sky
671,Santa Fe,AR,-31.6333,-60.7,78.01,41,0,7.0,clear sky
672,Coihaique,CL,-45.5752,-72.0662,57.2,62,75,4.61,broken clouds
673,Nago,JP,26.5881,127.9761,71.6,83,1,4.61,clear sky
674,Mehran,IR,33.1222,46.1646,64.4,34,0,4.61,clear sky
675,Salekhard,RU,66.53,66.6019,12.88,92,99,3.62,overcast clouds
